State,Cat,Count,,
Alabama,Arson,34,,
Alabama,Bribery,0,,
Alabama,Burglary/Breaking&Entering,910,,
Alabama,Counterfeiting/Forgery,186,,
Alabama,Destruction/Damage/Vandalism ,"1,375",,
Alabama,Embezzlement,40,,
Alabama,Extortion/Blackmail,13,,
Alabama,FraudOffenses,820,,
Alabama,Larceny/TheftOffenses,"3,840",,
Alabama,MotorVehicleTheft,541,,
Alabama,Robbery,66,,
Alabama,StolenPropertyOffenses,156,,
Arizona,Arson,186,,
Arizona,Bribery,1,,
Arizona,Burglary/Breaking&Entering,"4,404",,
Arizona,Counterfeiting/Forgery,567,,
Arizona,Destruction/Damage/Vandalism ,"8,390",,
Arizona,Embezzlement,147,,
Arizona,Extortion/Blackmail,113,,
Arizona,FraudOffenses,"6,778",,
Arizona,Larceny/TheftOffenses,"23,063",,
Arizona,MotorVehicleTheft,"2,611",,
Arizona,Robbery,720,,
Arizona,StolenPropertyOffenses,304,,
Arkansas,Arson,556,,
Arkansas,Bribery,1,,
Arkansas,Burglary/Breaking&Entering,"14,994",,
Arkansas,Counterfeiting/Forgery,"3,868",,
Arkansas,Destruction/Damage/Vandalism ,"26,063",,
Arkansas,Embezzlement,77,,
Arkansas,Extortion/Blackmail,47,,
Arkansas,FraudOffenses,"23,636",,
Arkansas,Larceny/TheftOffenses,"54,991",,
Arkansas,MotorVehicleTheft,"7,355",,
Arkansas,Robbery,"1,440",,
Arkansas,StolenPropertyOffenses,"2,481",,
Colorado,Arson,"1,329",,
Colorado,Bribery,156,,
Colorado,Burglary/Breaking&Entering,"22,539",,
Colorado,Counterfeiting/Forgery,"3,910",,
Colorado,Destruction/Damage/Vandalism ,"48,987",,
Colorado,Embezzlement,313,,
Colorado,Extortion/Blackmail,751,,
Colorado,FraudOffenses,"29,769",,
Colorado,Larceny/TheftOffenses,"112,828",,
Colorado,MotorVehicleTheft,"30,179",,
Colorado,Robbery,"3,958",,
Colorado,StolenPropertyOffenses,"2,904",,
Connecticut,Arson,159,,
Connecticut,Bribery,3,,
Connecticut,Burglary/Breaking&Entering,"5,897",,
Connecticut,Counterfeiting/Forgery,"1,356",,
Connecticut,Destruction/Damage/Vandalism ,"14,435",,
Connecticut,Embezzlement,214,,
Connecticut,Extortion/Blackmail,164,,
Connecticut,FraudOffenses,"8,575",,
Connecticut,Larceny/TheftOffenses,"37,125",,
